r_centre,inflow_velocity,inflow_angle,a,a_prime,f_n,f_t,bec,C_T,alpha,alpha_max,alpha_best,circulation,v0,tsr,pitch
39.43046260990397,37.80057552575233,8.127871878047007,0.3406671600579346,0.009400633995707284,2911.196734305963,372.0200256944023,0.9999827549828693,0.8992888263409718,3.2901719768708304,15.4545454545455,10.0,63.37342227481451,8,10.58,0.0
42.46351884980879,40.600587680994856,7.554713449079793,0.34031095115510995,0.008051778476588396,3133.4170569983253,369.74925031641135,0.9999907899749925,0.8987935671007299,3.3640292053832246,15.4545454545455,10.0,63.43188101076833,8,10.58,0.0
45.49653839508306,43.40744951498473,7.039233024927534,0.3416072330078622,0.0070052920987087215,3363.960897956898,368.5641720624475,0.9999926801103511,0.9005958678305614,3.519218050422948,14.8484848484848,10.0,63.63568846454102,8,10.58,0.0
48.529309768880765,46.22158700752421,6.604935340181249,0.3412110131123979,0.006157361029041892,3586.000112301252,368.8013975199128,0.9999891665370405,0.9000449788358162,3.7230448039026935,14.2424242424242,9.39393939393939,63.66174388350681,8,10.58,0.0
51.56238127792969,49.038726959861094,6.181198619894628,0.34501799621713786,0.005494263148046352,3832.5108083688965,369.35496837890264,0.9999794119033399,0.9053380625996295,3.993685952547698,14.2424242424242,9.39393939393939,64.08928122858686,8,10.58,0.0
54.5957648732452,51.862097592366425,5.845047089107645,0.3443186450555637,0.0049053853166444415,4053.5614209227924,370.0939898779311,0.9999539258223736,0.9043657114815163,4.246331441615135,14.2424242424242,8.78787878787879,64.06592205917308,8,10.58,0.0
57.62833211179301,54.6858426731725,5.50408634916655,0.3483201384286961,0.004437960159112893,4304.920687544506,370.76201830148455,0.9999015403926867,0.9099292348861677,4.584232226089198,14.8484848484848,8.18181818181818,64.49655755207581,8,10.58,0.0
60.661716048134295,57.51299156207202,5.200837218499516,0.351864398571159,0.004028295582842042,4555.775498281905,370.8272494757018,0.9997855116506268,0.9148570386874095,4.9380363260474365,15.4545454545455,8.18181818181818,64.87455798986561,8,10.58,0.0
63.69502002786486,60.343059393383236,4.942144216790968,0.3533716176135817,0.0036608159781722606,4793.849679334017,370.58006064028444,0.9995173958363511,0.9169526184214055,5.294503281080008,14.8484848484848,7.57575757575757,65.04242918827993,8,10.58,0.0
66.72780347714897,63.174237341789784,4.698916306206139,0.3559714758738858,0.0033463729143417536,5040.279873896857,370.06003460643785,0.9989206954375911,0.9205673619511832,5.701407706241611,14.8484848484848,6.96969696969697,65.30244460017474,8,10.58,0.0
69.76045198278842,66.00818020065492,4.501326883380542,0.3550829250752986,0.003054752186106585,5258.241422963313,369.1949849048935,0.9974916413397927,0.9193319548910706,6.079169337585327,14.8484848484848,6.96969696969697,65.1866972526904,8,10.58,0.0
72.7940381875178,68.84422752759708,4.3146287242258055,0.35500533575739285,0.002802182283845904,5476.535296811147,367.5905327607727,0.9941961654773772,0.9192240776697765,6.4875626771543775,14.8484848484848,6.96969696969697,65.08238657559744,8,10.58,0.0
75.8270844835384,71.68317068260163,4.177520538910845,0.34955870849309817,0.0025647734800620615,5633.211861697037,365.1355092248292,0.9860527121789499,0.9116512953518603,6.816858351770026,14.8484848484848,6.96969696969697,64.283373798094,8,10.58,0.0
78.86013907410936,74.52459864169842,4.062131577357608,0.34229701361725695,0.0023602553038569677,5733.42328532165,360.158900478941,0.9663671090450889,0.9015549124188168,7.127871410168652,14.8484848484848,6.36363636363637,62.924385988602374,8,10.58,0.0
81.89343911261152,77.37549556347929,4.072855021098675,0.3153493217324034,0.002144533126368882,5520.032790109368,347.73457111890355,0.9147443772916399,0.8636165080612661,7.2861824224515255,14.8484848484848,6.36363636363637,58.350910421035216,8,10.58,0.0
84.92615325670496,80.23295954156814,4.2045633979554555,0.2673083163964167,0.001881004884949324,4656.106886958804,304.07227103334714,0.7923820444177332,0.7834183215269196,7.330604904378124,14.2424242424242,6.36363636363637,47.472673005509776,8,10.58,0.0
